tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Physics,1754,Brigham Young University - Idaho, Collins,, Alan,3021921,0,zero,TEACHER,PROFESSOR,N/A
Interior Design,1754,Brigham Young University - Idaho,Toni ,, Elorrieta,2986890,0,zero,TEACHER,PROFESSOR,N/A
General Studies,1754,Brigham Young University - Idaho,Coreen,,(Hurst) Huggins,2021911,26,average,TEACHER,PROFESSOR,3.0
Religion,1754,Brigham Young University - Idaho,David,,Aaron,2711322,0,zero,TEACHER,PROFESSOR,N/A
Geology,1754,Brigham Young University - Idaho,Jason,,Aase,809410,30,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Dawn,,Abbott,2472024,18,good,TEACHER,PROFESSOR,4.3
Art,1754,Brigham Young University - Idaho,Joshua,,Abegglen,1421923,17,good,TEACHER,PROFESSOR,4.7
Sociology,1754,Brigham Young University - Idaho,Michael,,Abel,922527,90,good,TEACHER,PROFESSOR,3.6
English,1754,Brigham Young University - Idaho,Courtney,,Abenroth,1868481,9,good,TEACHER,PROFESSOR,4.7
Military Science,1754,Brigham Young University - Idaho,Tiffany,,Abriam,2242218,1,good,TEACHER,PROFESSOR,5.0
Education,1754,Brigham Young University - Idaho,Richard,,Adair,612220,17,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Roger,,Adair,2233899,4,good,TEACHER,PROFESSOR,3.7
Psychology,1754,Brigham Young University - Idaho,Rodger,,Adair,2242431,6,good,TEACHER,PROFESSOR,4.0
Child  Family Studies,1754,Brigham Young University - Idaho,Christina,,Adams,2069062,1,good,TEACHER,PROFESSOR,5.0
Economics,1754,Brigham Young University - Idaho,Nate,,Adams,2147895,4,average,TEACHER,PROFESSOR,2.8
English,1754,Brigham Young University - Idaho,Andrew,Bud,Adams,1996803,7,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,Jescee,,Adams,2298428,5,good,TEACHER,PROFESSOR,4.6
Physics,1754,Brigham Young University - Idaho,Kyle,Robert,Adams,2709587,6,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Steve,,Adams,2709595,1,average,TEACHER,PROFESSOR,3.0
Communication,1754,Brigham Young University - Idaho,Maija-Liisa,N,Adams,2056560,38,average,TEACHER,PROFESSOR,2.9
Religion,1754,Brigham Young University - Idaho,Jacob,,Adams,2090760,12,good,TEACHER,PROFESSOR,4.5
Art,1754,Brigham Young University - Idaho,Kaleigh,,Adamson,2678099,0,zero,TEACHER,PROFESSOR,N/A
Online Learning,1754,Brigham Young University - Idaho,Darren,,Adamson,2444534,7,good,TEACHER,PROFESSOR,5.0
Political Science,1754,Brigham Young University - Idaho,Duane,,Adamson,923985,75,good,TEACHER,PROFESSOR,3.9
Religion,1754,Brigham Young University - Idaho,Darren,,Adamson,1687544,18,good,TEACHER,PROFESSOR,4.9
Child & Family Studies,1754,Brigham Young University - Idaho,Michael,,Addams,2639716,2,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Trish,,Adelsperger,2028035,13,poor,TEACHER,PROFESSOR,2.4
Hospitality,1754,Brigham Young University - Idaho,Joel,R,Agate,2516737,0,zero,TEACHER,PROFESSOR,N/A
Religion,1754,Brigham Young University - Idaho,Susan,,Aguiar,2020650,5,good,TEACHER,PROFESSOR,4.2
Animal Science,1754,Brigham Young University - Idaho,Maria,,AhMu,2749733,1,good,TEACHER,PROFESSOR,5.0
Career Development,1754,Brigham Young University - Idaho,Sid,,Ahrendsen,972244,10,good,TEACHER,PROFESSOR,4.3
Career & College Prep,1754,Brigham Young University - Idaho,Rob,,Ahrendsen,1297471,17,good,TEACHER,PROFESSOR,4.5
Marketing,1754,Brigham Young University - Idaho,Drew,T,Ainscough,2744101,3,average,TEACHER,PROFESSOR,3.0
Home & Family Studies,1754,Brigham Young University - Idaho,Kari,Christine,Airth,2453775,1,good,TEACHER,PROFESSOR,5.0
Child & Family Studies,1754,Brigham Young University - Idaho,Kari,,Airth,1530349,52,good,TEACHER,PROFESSOR,4.6
Foundations,1754,Brigham Young University - Idaho,Jean,Renee,Akers,2614558,1,good,TEACHER,PROFESSOR,5.0
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Matthew,,Alba,964041,75,good,TEACHER,PROFESSOR,4.5
General Studies,1754,Brigham Young University - Idaho,Melissa,,Alegre,3022947,1,good,TEACHER,PROFESSOR,5.0
Chemistry,1754,Brigham Young University - Idaho,Aldair,,Alejandro,2310294,3,good,TEACHER,PROFESSOR,4.0
Instructional Technology,1754,Brigham Young University - Idaho,Dean,,Allen,482301,13,average,TEACHER,PROFESSOR,3.2
Music,1754,Brigham Young University - Idaho,Stephen,,Allen,959264,11,good,TEACHER,PROFESSOR,4.7
Physical Education,1754,Brigham Young University - Idaho,Holly,,Allen,1041434,13,good,TEACHER,PROFESSOR,4.5
Business,1754,Brigham Young University - Idaho,Hyrum,Redge,Allen,1979735,6,good,TEACHER,PROFESSOR,4.3
Business,1754,Brigham Young University - Idaho,Redge,,Allen,1993790,41,good,TEACHER,PROFESSOR,4.8
Management,1754,Brigham Young University - Idaho,Brian,,Allen,2957224,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Brian,,Allen,2195139,6,poor,TEACHER,PROFESSOR,1.7
Business,1754,Brigham Young University - Idaho,James,,Allen,2225189,25,good,TEACHER,PROFESSOR,4.6
Health  Human Performance,1754,Brigham Young University - Idaho,Heather,,Allen,2265010,5,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Scott,Edwin,Allen,2425039,6,good,TEACHER,PROFESSOR,4.0
Geology,1754,Brigham Young University - Idaho,Tara,,Allen,2638094,3,good,TEACHER,PROFESSOR,5.0
Computer Science,1754,Brigham Young University - Idaho,Katie,Larson,Allen,2684124,6,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Eric,,Allen,2708259,1,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Joshua,,Allen,2734229,3,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Josh,,Allen,503543,83,good,TEACHER,PROFESSOR,4.5
Education,1754,Brigham Young University - Idaho,David,,Allen,845707,31,average,TEACHER,PROFESSOR,3.4
Mathematics,1754,Brigham Young University - Idaho,Kara,,Allen,943856,34,good,TEACHER,PROFESSOR,4.0
Architecture,1754,Brigham Young University - Idaho,Nathan,,Allen,1053273,11,good,TEACHER,PROFESSOR,4.3
Online Learning,1754,Brigham Young University - Idaho,Emily,,Alley,1989004,6,good,TEACHER,PROFESSOR,3.9
Online Learning,1754,Brigham Young University - Idaho,Josh,,Alley,2067757,4,good,TEACHER,PROFESSOR,4.7
Communication,1754,Brigham Young University - Idaho,Jay,,Alley,2573680,1,good,TEACHER,PROFESSOR,5.0
Marketing,1754,Brigham Young University - Idaho,Luke,,Alley,2649697,19,good,TEACHER,PROFESSOR,5.0
Communication,1754,Brigham Young University - Idaho,Matthew,,Alley,2612900,6,good,TEACHER,PROFESSOR,3.8
Theology,1754,Brigham Young University - Idaho,Chris,,Allison,374242,121,good,TEACHER,PROFESSOR,4.1
Health Science,1754,Brigham Young University - Idaho,Toni,,Allman,2203671,3,good,TEACHER,PROFESSOR,5.0
Music,1754,Brigham Young University - Idaho,Andrew,,Allphin,2898821,0,zero,TEACHER,PROFESSOR,N/A
Home amp Family Studies,1754,Brigham Young University - Idaho,Kenneth,,Allred,2297961,2,good,TEACHER,PROFESSOR,3.5
Computer Science,1754,Brigham Young University - Idaho,John,,Allred,2270784,11,poor,TEACHER,PROFESSOR,1.9
Child & Family Studies,1754,Brigham Young University - Idaho,Sarah,,Allred,2525244,7,good,TEACHER,PROFESSOR,3.9
Computer Science,1754,Brigham Young University - Idaho,Jason,Morgan,Allred,2736317,16,good,TEACHER,PROFESSOR,4.9
Geology,1754,Brigham Young University - Idaho,Isaac,,Allred,2971079,3,good,TEACHER,PROFESSOR,4.0
Theology,1754,Brigham Young University - Idaho,Philip,,Allred,256243,102,good,TEACHER,PROFESSOR,4.7
Communication,1754,Brigham Young University - Idaho,Jennifer,,Allred,1156647,32,good,TEACHER,PROFESSOR,4.6
Religion,1754,Brigham Young University - Idaho,Brian,,Allred,2078010,5,good,TEACHER,PROFESSOR,4.3
Mathematics,1754,Brigham Young University - Idaho,Alyssa,,Allsop,2102881,7,good,TEACHER,PROFESSOR,4.5
Interior Design,1754,Brigham Young University - Idaho,Allison ,,Allsop,3031806,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Leo,,Almeida,2385531,3,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Jon,,Alston,2074300,7,good,TEACHER,PROFESSOR,4.1
Home & Family Studies,1754,Brigham Young University - Idaho,Kayla,,Alva,2676703,1,good,TEACHER,PROFESSOR,4.0
Child & Family Studies,1754,Brigham Young University - Idaho,Jessica,,Alvarado-Guadron,2686158,0,zero,TEACHER,PROFESSOR,N/A
Home & Family Studies,1754,Brigham Young University - Idaho,Jessica,L,Alvarado-Guardon,2467710,9,average,TEACHER,PROFESSOR,3.1
Computer Science,1754,Brigham Young University - Idaho,Zachariah,,Alvey,2390933,7,good,TEACHER,PROFESSOR,4.9
Accounting,1754,Brigham Young University - Idaho,Adna,,Ames,855728,61,average,TEACHER,PROFESSOR,3.4
Mathematics,1754,Brigham Young University - Idaho,Brett,,Amidan,2536487,14,good,TEACHER,PROFESSOR,4.5
Home & Family Studies,1754,Brigham Young University - Idaho,Daiana,G,Amyradakis,2350186,1,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Kimberly,,Andersen,345050,84,average,TEACHER,PROFESSOR,2.8
General Studies,1754,Brigham Young University - Idaho,Brett,,Andersen,1907767,3,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Samantha,,Andersen,2128475,3,good,TEACHER,PROFESSOR,4.7
Political Science,1754,Brigham Young University - Idaho,Jane,,Andersen,2095113,7,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Tyler,,Andersen,2610252,5,good,TEACHER,PROFESSOR,4.4
Humanities,1754,Brigham Young University - Idaho,Jeff,,Andersen,895295,59,average,TEACHER,PROFESSOR,3.0
Social Science,1754,Brigham Young University - Idaho,Joyce,,Anderson,238969,18,good,TEACHER,PROFESSOR,4.3
"Ag Bus, Plant & Animal Sci",1754,Brigham Young University - Idaho,Kevin,,Anderson,957306,15,poor,TEACHER,PROFESSOR,2.2
English,1754,Brigham Young University - Idaho,Janelle,,Anderson,1462264,1,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Eric,R,Anderson,1889077,0,zero,TEACHER,PROFESSOR,N/A
Recreation,1754,Brigham Young University - Idaho,Eric,D,Anderson,1907394,0,zero,TEACHER,PROFESSOR,N/A
Communication,1754,Brigham Young University - Idaho,Katie,,Anderson,1908492,5,good,TEACHER,PROFESSOR,4.1
Electrical Engineering,1754,Brigham Young University - Idaho,Allen,Andrew,Anderson,1971134,2,good,TEACHER,PROFESSOR,4.8
Religion,1754,Brigham Young University - Idaho,Ronald,Dean,Anderson,2152803,5,poor,TEACHER,PROFESSOR,1.6
Academic Services,1754,Brigham Young University - Idaho,Kyle,,Anderson,2390156,0,zero,TEACHER,PROFESSOR,N/A
Foundations,1754,Brigham Young University - Idaho,Kyle,Steven,Anderson,2419967,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1754,Brigham Young University - Idaho,Kent,,Anderson,2467896,2,good,TEACHER,PROFESSOR,5.0
Dance,1754,Brigham Young University - Idaho,Sarah,,Anderson,2468736,0,zero,TEACHER,PROFESSOR,N/A
Religion,1754,Brigham Young University - Idaho,Caden,,Anderson,2473694,2,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,Holly,,Anderson,2609956,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Hyram,,Anderson,2617223,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Marvin,,Anderson,2617396,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1754,Brigham Young University - Idaho,Sundy,,Anderson,2581317,6,good,TEACHER,PROFESSOR,5.0
Education,1754,Brigham Young University - Idaho,Stuart,,Anderson,2946422,5,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Ruth,,Anderson,2991853,0,zero,TEACHER,PROFESSOR,N/A
Economics,1754,Brigham Young University - Idaho,Mirinda,,Anderson,3022459,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Don,,Anderson,2241075,7,poor,TEACHER,PROFESSOR,1.7
Online Learning,1754,Brigham Young University - Idaho,Joe,Marv,Anderson,2246869,7,average,TEACHER,PROFESSOR,3.0
Online Learning,1754,Brigham Young University - Idaho,Kerry,,Anderson,2269536,21,average,TEACHER,PROFESSOR,3.4
Animal Science,1754,Brigham Young University - Idaho,Kerry,,Anderson,2272252,4,average,TEACHER,PROFESSOR,3.2
Computer Information Technology,1754,Brigham Young University - Idaho,Hyrum,,Anderson,2610490,3,poor,TEACHER,PROFESSOR,2.3
Computer Information Technology,1754,Brigham Young University - Idaho,Julie,Ann,Anderson,2631571,7,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Pam,,Anderson,2643558,2,good,TEACHER,PROFESSOR,3.5
Construction,1754,Brigham Young University - Idaho,Benjamin,,Anderson,2658457,7,poor,TEACHER,PROFESSOR,2.1
Art,1754,Brigham Young University - Idaho,Brett,,Anderson,2658773,1,good,TEACHER,PROFESSOR,5.0
Geology,1754,Brigham Young University - Idaho,Rachel,Smith,Anderson,2678012,4,good,TEACHER,PROFESSOR,4.5
Marketing,1754,Brigham Young University - Idaho,Jim,,Anderson,2709687,1,good,TEACHER,PROFESSOR,4.0
Business,1754,Brigham Young University - Idaho,Janet,,Anderson,2742387,1,good,TEACHER,PROFESSOR,4.0
Marketing,1754,Brigham Young University - Idaho,Aaron,,Anderson,2782941,1,poor,TEACHER,PROFESSOR,2.0
Construction,1754,Brigham Young University - Idaho,Brandon,,Anderson,2836126,3,average,TEACHER,PROFESSOR,2.7
Humanities,1754,Brigham Young University - Idaho,Owen,,Anderson,459608,24,good,TEACHER,PROFESSOR,3.7
Religion,1754,Brigham Young University - Idaho,Ron,,Anderson,469059,126,good,TEACHER,PROFESSOR,4.0
Biology,1754,Brigham Young University - Idaho,Joseph F.,,Anderson,1648131,115,good,TEACHER,PROFESSOR,4.6
Recreation,1754,Brigham Young University - Idaho,Tom,,Anderson,1694948,7,good,TEACHER,PROFESSOR,4.9
Online Learning,1754,Brigham Young University - Idaho,Kelly,P,Anderson,1757327,14,good,TEACHER,PROFESSOR,4.0
Online Learning,1754,Brigham Young University - Idaho,Kyle,,Anderson,1869420,8,good,TEACHER,PROFESSOR,4.9
Business,1754,Brigham Young University - Idaho,Julie,Ann,Anderson,1869471,11,good,TEACHER,PROFESSOR,4.6
English,1754,Brigham Young University - Idaho,Kayla,,Anderson,1884277,8,good,TEACHER,PROFESSOR,3.6
Humanities,1754,Brigham Young University - Idaho,Jeff,,Anderson,1946687,10,good,TEACHER,PROFESSOR,3.7
Nursing,1754,Brigham Young University - Idaho,Pamela,,Anderson,2112716,6,average,TEACHER,PROFESSOR,2.7
Biology,1754,Brigham Young University - Idaho,Dirk,,Andreasen,2630710,5,average,TEACHER,PROFESSOR,2.8
Computer Science,1754,Brigham Young University - Idaho,Ryan,,Andreasen,1694617,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Jared,,Andrews,2392276,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Chris,,Andrews,1509816,30,good,TEACHER,PROFESSOR,4.7
Education,1754,Brigham Young University - Idaho,Audra,,Andrus,2744290,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Gregory,,Angus,2547459,22,good,TEACHER,PROFESSOR,4.7
Automotive Technology,1754,Brigham Young University - Idaho,Maxwel,,Anyanwu,2883825,1,good,TEACHER,PROFESSOR,5.0
Health  Human Performance,1754,Brigham Young University - Idaho,Juan,,Aponte,2212288,5,average,TEACHER,PROFESSOR,3.2
Health Science,1754,Brigham Young University - Idaho,Cambree,,Applegate,2360078,2,good,TEACHER,PROFESSOR,5.0
Communication,1754,Brigham Young University - Idaho,Jennifer,,Arbon,2736099,11,good,TEACHER,PROFESSOR,4.3
Recreation,1754,Brigham Young University - Idaho,Kari,,Archibald,547457,15,good,TEACHER,PROFESSOR,4.3
Mechanical Engineering,1754,Brigham Young University - Idaho,Erik,,Archibald,2635763,9,poor,TEACHER,PROFESSOR,1.8
Nursing,1754,Brigham Young University - Idaho,Rachel,,Ardern,2128766,4,poor,TEACHER,PROFESSOR,1.8
English,1754,Brigham Young University - Idaho,Lauri,D,Arensmeyer,1753893,1,good,TEACHER,PROFESSOR,4.0
History,1754,Brigham Young University - Idaho,Philip,,Armstrong,1599841,12,good,TEACHER,PROFESSOR,3.7
Foundations,1754,Brigham Young University - Idaho,Phillip,Douglas,Armstrong,2246710,1,good,TEACHER,PROFESSOR,5.0
Foundations,1754,Brigham Young University - Idaho,Gary,Tyler,Armstrong,2249532,4,good,TEACHER,PROFESSOR,4.5
Psychology,1754,Brigham Young University - Idaho,Nicole,,Armstrong,2338803,26,poor,TEACHER,PROFESSOR,1.5
Psychology,1754,Brigham Young University - Idaho,Erin,N,Armstrong,2531216,3,poor,TEACHER,PROFESSOR,2.3
Information Systems,1754,Brigham Young University - Idaho,Bradley,,Armstrong,676829,172,good,TEACHER,PROFESSOR,4.2
Political Science,1754,Brigham Young University - Idaho,Ruth,,Arnell,1412512,11,good,TEACHER,PROFESSOR,4.6
Music,1754,Brigham Young University - Idaho,Annalisa,,Arnell,2029157,1,good,TEACHER,PROFESSOR,4.5
History,1754,Brigham Young University - Idaho,Lisa,,Arnold,2610296,30,good,TEACHER,PROFESSOR,5.0
Automotive Technology,1754,Brigham Young University - Idaho,Jerum ,Kelly,Arnold,2073823,13,average,TEACHER,PROFESSOR,2.9
English,1754,Brigham Young University - Idaho,Margaret,,Arsenault,1701544,5,good,TEACHER,PROFESSOR,4.8
English,1754,Brigham Young University - Idaho,Toni,,Asay,2028607,13,good,TEACHER,PROFESSOR,4.5
Psychology,1754,Brigham Young University - Idaho,Nathan,,Asbell,1889126,9,poor,TEACHER,PROFESSOR,2.3
Online Learning,1754,Brigham Young University - Idaho,Kiel,Hogan,Ashbaker,2807576,1,good,TEACHER,PROFESSOR,5.0
International Studies,1754,Brigham Young University - Idaho,David,,Ashby,2640469,3,good,TEACHER,PROFESSOR,4.7
Music,1754,Brigham Young University - Idaho,Eda,,Ashby,1003224,45,good,TEACHER,PROFESSOR,4.4
Mathematics,1754,Brigham Young University - Idaho,Carol,,Ashcraft,2576242,7,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Kendrick,,Ashcroft,2106571,5,average,TEACHER,PROFESSOR,3.2
Religion,1754,Brigham Young University - Idaho,Ken,,Ashcroftk,2106553,2,average,TEACHER,PROFESSOR,3.0
Health Science,1754,Brigham Young University - Idaho,Cassity,,Asher,2406079,6,poor,TEACHER,PROFESSOR,1.8
Computer Information Technology,1754,Brigham Young University - Idaho,Jedadiah,,Ashford,1990322,2,average,TEACHER,PROFESSOR,3.0
General Studies,1754,Brigham Young University - Idaho,Stephanie,,Ashley,2262504,5,good,TEACHER,PROFESSOR,4.2
Art,1754,Brigham Young University - Idaho,Candice,,Ashment,2707664,4,good,TEACHER,PROFESSOR,4.8
Education,1754,Brigham Young University - Idaho,Rachel ,,Ashmore ,2049976,4,poor,TEACHER,PROFESSOR,2.4
Music,1754,Brigham Young University - Idaho,Ted,,Ashton,685577,6,good,TEACHER,PROFESSOR,4.8
Biology,1754,Brigham Young University - Idaho,Joshua,,Ashton,2412614,56,good,TEACHER,PROFESSOR,4.4
English,1754,Brigham Young University - Idaho,Jamshid,,Askar,1619411,3,good,TEACHER,PROFESSOR,5.0
Computer Information Technology,1754,Brigham Young University - Idaho,Jerah,,Assmus,2516684,9,good,TEACHER,PROFESSOR,4.9
Religion,1754,Brigham Young University - Idaho,Nathan,,Astel,2977114,2,good,TEACHER,PROFESSOR,4.5
Religion,1754,Brigham Young University - Idaho,Kirk,,Astel,1549129,146,good,TEACHER,PROFESSOR,3.7
Art,1754,Brigham Young University - Idaho,Brian,,Astle,2151835,15,good,TEACHER,PROFESSOR,4.9
Computer Science,1754,Brigham Young University - Idaho,Kyle,,Atkinson,2252758,1,poor,TEACHER,PROFESSOR,1.0
Foundations,1754,Brigham Young University - Idaho,Trevor,,Atkinson,2463374,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Mark,,Atkinson,2644460,2,good,TEACHER,PROFESSOR,5.0
Art,1754,Brigham Young University - Idaho,Brian,,Atkinson,691923,34,good,TEACHER,PROFESSOR,3.9
Religion,1754,Brigham Young University - Idaho,Shawn,,Atwood,2155341,1,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Ryan,,Atwood,2870982,0,zero,TEACHER,PROFESSOR,N/A
Nursing,1754,Brigham Young University - Idaho,Jason,,Atwood,776341,50,good,TEACHER,PROFESSOR,4.7
Accounting,1754,Brigham Young University - Idaho,Jamie,,Austad,2528071,25,good,TEACHER,PROFESSOR,4.3
Humanities,1754,Brigham Young University - Idaho,Jonathan,,Austad,1994319,62,good,TEACHER,PROFESSOR,3.6
Business,1754,Brigham Young University - Idaho,Landry,,Austin,2551224,5,average,TEACHER,PROFESSOR,2.8
Theater,1754,Brigham Young University - Idaho,Cynthia ,,Austin,2857276,3,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Cynthia,,Austin,2873402,2,good,TEACHER,PROFESSOR,4.0
Business,1754,Brigham Young University - Idaho,Christopher,,Ayers,2469999,1,good,TEACHER,PROFESSOR,4.0
Education,1754,Brigham Young University - Idaho,Melissa,,Babcock,1730479,5,poor,TEACHER,PROFESSOR,1.9
English,1754,Brigham Young University - Idaho,James,Matthew,Babcock,2732521,0,zero,TEACHER,PROFESSOR,N/A
Art,1754,Brigham Young University - Idaho,David,,Babcock,2780065,3,good,TEACHER,PROFESSOR,5.0
Marketing,1754,Brigham Young University - Idaho,Daniel,,Babcock,2791309,2,average,TEACHER,PROFESSOR,3.0
English,1754,Brigham Young University - Idaho,Matthew (Matt),,Babcock,604041,94,good,TEACHER,PROFESSOR,4.5
Computer Information Technology,1754,Brigham Young University - Idaho,Johan,,Baer,2384072,3,good,TEACHER,PROFESSOR,3.7
Animal Science,1754,Brigham Young University - Idaho,Amy,,Baeza,2070704,18,good,TEACHER,PROFESSOR,3.8
Geology,1754,Brigham Young University - Idaho,Boyd,,Bagget,1591602,3,good,TEACHER,PROFESSOR,4.5
Religion,1754,Brigham Young University - Idaho,Boyd,,Baggett,1205615,64,good,TEACHER,PROFESSOR,4.5
Online Learning,1754,Brigham Young University - Idaho,Tanya,,Bagley,2022489,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Janae,,Bagley,2634572,7,good,TEACHER,PROFESSOR,4.7
Home & Family Studies,1754,Brigham Young University - Idaho,Lisa (Niki),Nicole,Bagley,2674982,3,good,TEACHER,PROFESSOR,4.7
Career Development,1754,Brigham Young University - Idaho,Rob,,Bagley,2682943,1,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Cindy,,Bahr,676469,20,poor,TEACHER,PROFESSOR,2.3
Theater,1754,Brigham Young University - Idaho,Amelia,,Bahr,2654061,2,good,TEACHER,PROFESSOR,3.5
Child & Family Studies,1754,Brigham Young University - Idaho,Cassandra,,Bahr,2998347,1,good,TEACHER,PROFESSOR,4.0
Education,1754,Brigham Young University - Idaho,Barbara,,Baiamonte,918371,12,good,TEACHER,PROFESSOR,4.0
Mathematics,1754,Brigham Young University - Idaho,Sean ,,Bailey,1920711,6,average,TEACHER,PROFESSOR,3.4
Business,1754,Brigham Young University - Idaho,Christopher,,Bailey,2970960,1,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Jeremy,,Bailey,1697649,46,good,TEACHER,PROFESSOR,4.1
Biology,1754,Brigham Young University - Idaho,Caleb,,Bailey,1935711,147,good,TEACHER,PROFESSOR,3.7
Physics,1754,Brigham Young University - Idaho,Rodney,,Bain,305838,22,average,TEACHER,PROFESSOR,3.1
Library Science,1754,Brigham Young University - Idaho,Marcia,,Bair,767245,6,good,TEACHER,PROFESSOR,4.2
Communication,1754,Brigham Young University - Idaho,Melissa,,Bair,1884280,6,good,TEACHER,PROFESSOR,3.5
Business,1754,Brigham Young University - Idaho,Bryan,,Bair,2447613,4,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Michael,,Bair,2479975,8,average,TEACHER,PROFESSOR,3.0
Communication,1754,Brigham Young University - Idaho,Adam,,Bair,856236,44,good,TEACHER,PROFESSOR,3.9
Business,1754,Brigham Young University - Idaho,Jean,,Baird,307895,37,average,TEACHER,PROFESSOR,2.7
Mechanical Engineering,1754,Brigham Young University - Idaho,Adrian,,Baird,1197226,13,good,TEACHER,PROFESSOR,4.2
Health Science,1754,Brigham Young University - Idaho,Heidi,,Baird,2754201,6,good,TEACHER,PROFESSOR,4.7
Business,1754,Brigham Young University - Idaho,Scott,,Baird,2851149,3,poor,TEACHER,PROFESSOR,1.0
Biology,1754,Brigham Young University - Idaho,Gary,,Baird,453606,263,average,TEACHER,PROFESSOR,3.2
Academic Services,1754,Brigham Young University - Idaho,Daniel,,Baird,893515,61,good,TEACHER,PROFESSOR,4.9
English,1754,Brigham Young University - Idaho,Sarah,,Baird,1677933,6,good,TEACHER,PROFESSOR,4.5
Child & Family Studies,1754,Brigham Young University - Idaho,Sariah,,Baird,3044848,0,zero,TEACHER,PROFESSOR,N/A
English,1754,Brigham Young University - Idaho,Aimee,Haderlie,Baker,2078474,2,poor,TEACHER,PROFESSOR,1.8
Communication,1754,Brigham Young University - Idaho,Maurianne,,Baker,2610435,1,good,TEACHER,PROFESSOR,4.0
Art,1754,Brigham Young University - Idaho,Madison,,Baker,2862090,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1754,Brigham Young University - Idaho,Bryan ,,Baker,3019161,0,zero,TEACHER,PROFESSOR,N/A
Biology,1754,Brigham Young University - Idaho,Adam,,Baker,2321838,6,good,TEACHER,PROFESSOR,4.2
Health Science,1754,Brigham Young University - Idaho,JoDee,,Baker,2420389,6,good,TEACHER,PROFESSOR,3.8
Business,1754,Brigham Young University - Idaho,Jonathan,,Baker,2858875,1,good,TEACHER,PROFESSOR,5.0
Biology,1754,Brigham Young University - Idaho,Lanning R.,,Baker,1638872,119,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Krystal,K.,Baker Chipman,2249949,5,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Sharon,,Baldwin,2236355,3,average,TEACHER,PROFESSOR,3.0
Mathematics,1754,Brigham Young University - Idaho,Donald,,Baldwin,2347839,10,average,TEACHER,PROFESSOR,3.1
Mathematics,1754,Brigham Young University - Idaho,Carol,,Baldwin,2576573,2,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Beth,,Baldwin,2580899,4,good,TEACHER,PROFESSOR,5.0
