tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
English,1754,Brigham Young University - Idaho,Emma,,George,2709679,5,good,TEACHER,PROFESSOR,4.8
Foundations,1754,Brigham Young University - Idaho,Stephanie,,Gerla,2295450,7,good,TEACHER,PROFESSOR,4.6
Mathematics,1754,Brigham Young University - Idaho,Marcus,,Gho,2679512,306,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Victor,,Gibb,1606880,1,average,TEACHER,PROFESSOR,3.0
Computer Information Technology,1754,Brigham Young University - Idaho,Carl,,Gibbons,2477422,5,good,TEACHER,PROFESSOR,4.0
Communication,1754,Brigham Young University - Idaho,Madison,,Gibby,2628194,15,poor,TEACHER,PROFESSOR,2.3
Health & Human Performance,1754,Brigham Young University - Idaho,John,,Gibson,1912022,19,average,TEACHER,PROFESSOR,3.3
English,1754,Brigham Young University - Idaho,Stephen,,Gibson,2854091,2,good,TEACHER,PROFESSOR,5.0
Economics,1754,Brigham Young University - Idaho,Kirk,,Gifford,836043,44,good,TEACHER,PROFESSOR,4.5
English,1754,Brigham Young University - Idaho,Janine,,Gilbert,789335,67,good,TEACHER,PROFESSOR,4.8
Online Learning,1754,Brigham Young University - Idaho,Kimberly,,Gilboy,2610832,1,good,TEACHER,PROFESSOR,5.0
Child & Family Studies,1754,Brigham Young University - Idaho,Amber,,Giles,2996523,0,zero,TEACHER,PROFESSOR,N/A
Home & Family Studies,1754,Brigham Young University - Idaho,Amber,,Giles,2785584,3,good,TEACHER,PROFESSOR,4.3
Health  Human Performance,1754,Brigham Young University - Idaho,Benjamin,,Gill,1941520,3,good,TEACHER,PROFESSOR,4.7
Foundations,1754,Brigham Young University - Idaho,Tammy,,Gillespie,2447127,5,good,TEACHER,PROFESSOR,3.6
Health Science,1754,Brigham Young University - Idaho,Larry,,Gilley,2151694,0,zero,TEACHER,PROFESSOR,N/A
English,1754,Brigham Young University - Idaho,Emily,,Gilliland,1300933,11,good,TEACHER,PROFESSOR,4.4
Computer Information Technology,1754,Brigham Young University - Idaho,Daniel,,Gilliland,2090470,4,good,TEACHER,PROFESSOR,4.5
Religion,1754,Brigham Young University - Idaho,Norman,,Gividen,2661656,4,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Benjamin,,Gleason,2524426,54,good,TEACHER,PROFESSOR,3.8
Psychology,1754,Brigham Young University - Idaho,Kaylee,,Glenn,2506552,1,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Kristen,,Glenn,1305371,41,good,TEACHER,PROFESSOR,3.8
Business,1754,Brigham Young University - Idaho,Mike,,Glissmeyer,2661661,4,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Cynthia,,Glorfield,2269440,5,poor,TEACHER,PROFESSOR,1.2
Child & Family Studies,1754,Brigham Young University - Idaho,Cyndia,,Glorfield,2430538,3,poor,TEACHER,PROFESSOR,1.3
Communication,1754,Brigham Young University - Idaho,Cynthia,,Glunt,2293474,23,good,TEACHER,PROFESSOR,3.8
Health & Human Performance,1754,Brigham Young University - Idaho,Mikala,,Gneiting,2638515,16,good,TEACHER,PROFESSOR,4.7
Computer Science,1754,Brigham Young University - Idaho,Gary,,Godderidge,2845287,5,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Vanessa,,Godfrey,2198259,8,average,TEACHER,PROFESSOR,2.8
Online Learning,1754,Brigham Young University - Idaho,Brian,,Godfrey,2276468,10,average,TEACHER,PROFESSOR,2.6
Child & Family Studies,1754,Brigham Young University - Idaho,Mike,,Godfrey,765571,37,average,TEACHER,PROFESSOR,3.4
Computer Science,1754,Brigham Young University - Idaho,Kory,,Godfrey,1203312,45,poor,TEACHER,PROFESSOR,2.5
English,1754,Brigham Young University - Idaho,Kamri,,Goff,2022571,12,good,TEACHER,PROFESSOR,4.2
Computer Science,1754,Brigham Young University - Idaho,Steven,,Gold,2701353,6,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Michael,,Goldhardt,1338624,9,average,TEACHER,PROFESSOR,3.2
Computer Science,1754,Brigham Young University - Idaho,Dario,,Gonzalez,2607048,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1754,Brigham Young University - Idaho,Troy,,Goodsell,195234,86,good,TEACHER,PROFESSOR,3.7
Mathematics,1754,Brigham Young University - Idaho,Cynthia,,Goodsell,1591595,42,good,TEACHER,PROFESSOR,4.2
Mathematics,1754,Brigham Young University - Idaho,Harold,,Goodwill,2401726,7,average,TEACHER,PROFESSOR,3.4
Mathematics,1754,Brigham Young University - Idaho,Tim,,Goodwill,2467094,7,good,TEACHER,PROFESSOR,4.1
Mathematics,1754,Brigham Young University - Idaho,Shane,,Goodwin,21455,176,good,TEACHER,PROFESSOR,4.5
Child & Family Studies,1754,Brigham Young University - Idaho,Kathleen,,Gordon,1462409,6,good,TEACHER,PROFESSOR,4.7
Business,1754,Brigham Young University - Idaho,Scott,,Gordon,2940490,0,zero,TEACHER,PROFESSOR,N/A
Online Learning,1754,Brigham Young University - Idaho,Jenna,,Gordon,2808314,1,poor,TEACHER,PROFESSOR,2.0
Mathematics,1754,Brigham Young University - Idaho,Jenna ,,Gordon,2897296,1,poor,TEACHER,PROFESSOR,2.0
English,1754,Brigham Young University - Idaho,George,,Gordon-Smith,2071173,0,zero,TEACHER,PROFESSOR,N/A
English,1754,Brigham Young University - Idaho,Terry,,Gorton,566364,93,average,TEACHER,PROFESSOR,3.2
Religion,1754,Brigham Young University - Idaho,Brandon,,Goss,2337319,10,good,TEACHER,PROFESSOR,4.4
Home & Family Studies,1754,Brigham Young University - Idaho,Mallary,,Goude,2677297,18,good,TEACHER,PROFESSOR,4.4
Mathematics,1754,Brigham Young University - Idaho,Carl,,Grafe,2267770,7,good,TEACHER,PROFESSOR,3.6
Business,1754,Brigham Young University - Idaho,Sandi,,Grandberry,2055580,14,good,TEACHER,PROFESSOR,4.9
English,1754,Brigham Young University - Idaho,nicholas,shannon,grange,2611263,0,zero,TEACHER,PROFESSOR,N/A
Communication,1754,Brigham Young University - Idaho,Susan,,Grant,730408,26,good,TEACHER,PROFESSOR,4.2
English,1754,Brigham Young University - Idaho,Kendall,,Grant,635720,188,good,TEACHER,PROFESSOR,3.8
Home amp Family Studies,1754,Brigham Young University - Idaho,Todd,,Graves,2438091,2,good,TEACHER,PROFESSOR,5.0
Biology,1754,Brigham Young University - Idaho,Jake,,Graves ,2874218,0,zero,TEACHER,PROFESSOR,N/A
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Jonathan,,Green,1802255,4,good,TEACHER,PROFESSOR,4.6
Online Learning,1754,Brigham Young University - Idaho,Ashley,K,Green,2344016,2,good,TEACHER,PROFESSOR,4.5
Education,1754,Brigham Young University - Idaho,Melissa,,Green,2542138,131,good,TEACHER,PROFESSOR,4.7
Home  Family Studies,1754,Brigham Young University - Idaho,Kevin,,Green,2153185,31,good,TEACHER,PROFESSOR,4.5
Library Science,1754,Brigham Young University - Idaho,Holly,,Green,2323424,5,good,TEACHER,PROFESSOR,3.8
English,1754,Brigham Young University - Idaho,Alicia,,Green,877617,25,good,TEACHER,PROFESSOR,4.5
Physics,1754,Brigham Young University - Idaho,Jaromy,,Green,935707,8,average,TEACHER,PROFESSOR,2.9
English,1754,Brigham Young University - Idaho,Alecia,,Green,1963987,11,good,TEACHER,PROFESSOR,4.5
Online Learning,1754,Brigham Young University - Idaho,Jana,,Greenhalgh,2124763,2,good,TEACHER,PROFESSOR,3.5
Mathematics,1754,Brigham Young University - Idaho,Corey,,Greenlaw,2321621,6,good,TEACHER,PROFESSOR,4.5
Religion,1754,Brigham Young University - Idaho,David,,Greenman,2581515,3,good,TEACHER,PROFESSOR,4.3
Recreation,1754,Brigham Young University - Idaho,Janell,,Greenwood,1557831,28,average,TEACHER,PROFESSOR,3.5
Biology,1754,Brigham Young University - Idaho,Kimberly,M,Greer,2404185,3,good,TEACHER,PROFESSOR,4.3
Biology,1754,Brigham Young University - Idaho,Kim,,Greer,2171732,11,good,TEACHER,PROFESSOR,4.1
English,1754,Brigham Young University - Idaho,Ellen,,Gregory,2123188,4,good,TEACHER,PROFESSOR,3.8
Business,1754,Brigham Young University - Idaho,Mike,,Gregory,2126181,25,good,TEACHER,PROFESSOR,5.0
